client id,client type,first name,last name,date of birth,gender,country,region,acquisition purpose,satisfaction score,loan applied,referral channel,age,Cluster
C0001,1,Kareem,Liu,2068-05-11,F,USA,California,0,4,1,Website,-42,3
C0002,1,Trystan,Oconnor,1962-11-26,M,USA,California,0,1,0,Website,64,2
C0003,1,Kale,Gay,2059-04-07,M,USA,California,0,4,1,Agency,-33,3
C0004,1,Russell,Gross,1959-11-25,M,USA,California,0,5,0,Website,67,2
C0005,0,Marleez,Co,1976-02-28,M,USA,California,1,5,0,Website,50,0
C0006,1,Yurem,Wright,2057-03-06,M,USA,California,0,3,1,Website,-31,1
C0007,1,Xavier,Faulkner,1947-05-24,M,Canada,Quebec,1,5,0,Website,79,2
C0008,1,Kayden,Olsen,1969-10-17,F,USA,California,0,5,0,Website,57,2
C0009,1,Joaquin,Mullins,2075-10-05,M,USA,California,1,5,0,Agency,-49,3
C0010,1,Nicolas,Navarro,1966-06-17,M,USA,Oregon,1,3,0,Agency,60,2
C0011,1,Laci,Guerra,1956-06-17,F,USA,California,0,2,1,Website,70,2
C0012,0,Kylax,Co,1975-04-25,M,USA,California,1,5,0,Website,51,0
C0013,1,Harley,Lucero,2062-08-10,M,USA,California,0,1,1,Website,-36,3
C0014,0,Esther,Co,1980-07-10,M,USA,California,0,3,1,Website,46,0
C0015,1,Jaylynn,Hickman,1941-08-19,F,USA,California,0,5,0,Client,85,2
C0016,1,Olivia,Oconnell,2039-09-03,F,USA,California,1,5,0,Website,-13,1
C0017,1,Antonio,Porter,1977-01-08,M,USA,Arizona,0,3,0,Client,49,0
C0018,1,Luke,Lynn,2067-02-07,M,USA,California,0,2,1,Agency,-41,3
C0019,1,Anahi,Curry,2057-09-09,M,USA,California,0,5,1,Client,-31,1
C0020,1,Camille,Sharp,1967-10-17,F,USA,California,0,5,0,Website,59,2
C0021,1,Jesus,Obrien,2038-06-09,M,USA,Oregon,1,3,0,Website,-12,1
C0022,1,Araceli,Nelson,1966-09-14,M,Germany,Berlin,1,5,0,Agency,60,2
C0023,1,Cole,Taylor,2058-12-06,M,USA,California,0,3,1,Website,-32,3
C0024,1,Alonso,Terrell,2063-11-05,M,USA,California,1,4,0,Website,-37,3
C0025,1,Rodolfo,Gibson,1937-01-20,M,USA,Nevada,0,2,1,Website,89,2
C0026,1,Joseph,Reeves,1962-09-23,M,USA,California,1,5,0,Website,64,2
C0027,1,Grant,Weber,2068-09-08,M,USA,California,0,5,1,Website,-42,3
C0028,1,Ava,Phelps,1958-04-15,F,USA,California,0,3,0,Client,68,2
C0029,1,Kyla,Walker,1976-02-26,F,USA,Colorado,0,4,1,Agency,50,0
C0030,1,Alanna,Hess,1952-06-19,F,USA,Nevada,0,3,0,Website,74,2
C0031,1,Skylar,Buchanan,1977-12-25,M,USA,Nevada,0,4,1,Website,49,0
C0032,1,Rodrigo,Robinson,2066-08-11,M,USA,California,0,4,0,Website,-40,3
C0033,1,Lydia,Tate,1968-08-14,F,USA,California,0,3,1,Website,58,2
C0034,1,Lauryn,Patrick,1969-10-30,F,Belgium,Brussels,0,2,0,Agency,57,2
C0035,1,Diego,Mendez,2065-05-12,M,Mexico,Mexico City,0,3,0,Agency,-39,3
C0036,1,Victor,Jensen,2073-09-01,M,USA,California,0,4,0,Website,-47,3
C0037,1,Scarlet,Hendricks,1962-01-20,F,USA,California,0,5,1,Website,64,2
C0038,1,Janelle,Espinoza,1974-12-25,F,USA,California,1,4,0,Client,52,0
C0039,1,Aleksandra,Karenina,1967-06-13,F,Russia,Krasnodar Krai,0,1,0,Agency,59,2
C0040,1,Conner,Huff,1975-03-22,M,USA,Nevada,0,5,0,Website,51,0
C0041,1,Zain,Horne,1967-04-13,M,USA,Arizona,0,1,1,Website,59,2
C0042,1,Maia,Chandler,2075-08-12,F,USA,Utah,0,1,1,Website,-49,3
C0043,1,Jordyn,Park,2065-04-04,M,USA,Nevada,1,3,1,Website,-39,3
C0044,1,Diana,Hunt,1931-02-13,F,USA,Arizona,0,3,0,Website,95,2
C0045,1,Kevin,Mata,2068-10-12,M,USA,Colorado,1,2,0,Agency,-42,3
C0046,1,Brisa,Mckee,1964-09-24,F,USA,California,0,5,0,Client,62,2
C0047,1,Mason,Gilbert,1970-07-31,M,USA,Colorado,0,2,0,Agency,56,2
C0048,1,Derick,Li,1957-03-20,M,USA,California,0,3,1,Agency,69,2
C0049,1,Jace,Riggs,1971-08-20,F,USA,California,0,1,0,Website,55,0
C0050,1,Jair,Johns,2040-03-05,M,USA,California,0,5,0,Website,-14,1
C0051,1,Matilda,Madden,2041-03-03,F,USA,Colorado,0,3,0,Agency,-15,1
C0052,1,Myla,Ewing,2067-02-03,F,USA,Oregon,1,2,0,Client,-41,3
C0053,1,Miguel,Walter,2054-01-07,M,USA,Arizona,0,4,0,Agency,-28,1
C0054,0,Bridger CAL,Co,1967-02-15,M,USA,Nevada,1,5,0,Website,59,2
C0055,1,Mara,Franco,2073-06-07,F,USA,California,0,5,1,Agency,-47,3
C0056,1,Erik,Mora,2064-12-07,M,USA,Oregon,1,5,0,Agency,-38,3
C0057,1,Henry,Kennedy,2033-06-08,M,USA,California,0,4,1,Agency,-7,1
C0058,0,Kenyon,Co,2069-05-03,F,USA,California,1,1,1,Website,-43,3
C0059,1,Oswaldo,Palmer,1960-06-16,M,USA,California,0,2,0,Website,66,2
C0060,1,Kassidy,Vega,2072-05-07,F,USA,California,0,5,0,Website,-46,3
C0061,1,Morgan,Glass,2067-05-12,M,USA,Utah,0,5,0,Agency,-41,3
C0062,1,Tyler,Carr,1974-03-27,M,USA,California,0,5,1,Client,52,0
C0063,1,Yesenia,Marquez,1942-07-23,F,USA,Arizona,0,4,0,Website,84,2
C0064,1,Gordon,Brown,2074-02-10,M,UK,Northern Ireland,1,4,0,Agency,-48,3
C0065,1,Rodrigo,Ramirez,1972-03-26,M,USA,California,0,1,0,Agency,54,0
C0066,1,Melanie,Holland,1974-12-25,F,USA,California,1,3,0,Client,52,0
C0067,1,Enrique,Cardenas,1977-06-10,M,USA,California,0,2,0,Website,49,0
C0068,1,Helen,Williamson,1966-02-26,F,USA,Colorado,0,5,1,Agency,60,2
C0069,1,Isis,Rios,2070-04-01,M,USA,California,1,4,0,Website,-44,3
C0070,1,Kayley,Nielsen,1947-04-27,F,USA,Arizona,0,4,1,Website,79,2
C0071,1,Donavan,Flowers,1985-12-27,M,USA,California,0,1,1,Client,41,0
