client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,Cluster
C0001,1,Kareem,Liu,2068-05-11,F,9,8,0,0.6870888628228828,1,Website,-1.7992179814882552,2
C0002,1,Trystan,Oconnor,1962-11-26,M,9,8,0,-1.4357397555794327,0,Website,0.8259675824941127,0
C0003,1,Kale,Gay,2059-04-07,M,9,8,0,0.6870888628228828,1,Agency,-1.576324867565224,2
C0004,1,Russell,Gross,1959-11-25,M,9,8,0,1.3946984022903213,0,Website,0.9002652871351232,1
C0005,0,Marleez,Co,1976-02-28,M,9,8,1,1.3946984022903213,0,Website,0.47924496083606416,1
C0006,1,Yurem,Wright,2057-03-06,M,9,8,0,-0.020520676644555657,1,Website,-1.526793064471217,3
C0007,1,Xavier,Faulkner,1947-05-24,M,2,40,1,1.3946984022903213,0,Website,1.1974561056991648,1
C0008,1,Kayden,Olsen,1969-10-17,F,9,8,0,1.3946984022903213,0,Website,0.6526062716650884,1
C0009,1,Joaquin,Mullins,2075-10-05,M,9,8,1,1.3946984022903213,0,Agency,-1.9725792923172796,2
C0010,1,Nicolas,Navarro,1966-06-17,M,9,37,1,-0.020520676644555657,0,Agency,0.7269039763060989,1
C0011,1,Laci,Guerra,1956-06-17,F,9,8,0,-0.7281302161119941,1,Website,0.9745629917761336,0
C0012,0,Kylax,Co,1975-04-25,M,9,8,1,1.3946984022903213,0,Website,0.5040108623830677,1
C0013,1,Harley,Lucero,2062-08-10,M,9,8,0,-1.4357397555794327,1,Website,-1.6506225722062344,3
C0014,0,Esther,Co,1980-07-10,M,9,8,0,-0.020520676644555657,1,Website,0.3801813546480503,1
C0015,1,Jaylynn,Hickman,1941-08-19,F,9,8,0,1.3946984022903213,0,Client,1.3460515149811858,1
C0016,1,Olivia,Oconnell,2039-09-03,F,9,8,1,1.3946984022903213,0,Website,-1.0810068366251546,2
C0017,1,Antonio,Porter,1977-01-08,M,9,1,0,-0.020520676644555657,0,Client,0.4544790592890607,1
C0018,1,Luke,Lynn,2067-02-07,M,9,8,0,-0.7281302161119941,1,Agency,-1.7744520799412518,3
C0019,1,Anahi,Curry,2057-09-09,M,9,8,0,1.3946984022903213,1,Client,-1.526793064471217,2
C0020,1,Camille,Sharp,1967-10-17,F,9,8,0,1.3946984022903213,0,Website,0.7021380747590954,1
C0021,1,Jesus,Obrien,2038-06-09,M,9,37,1,-0.020520676644555657,0,Website,-1.0562409350781512,3
C0022,1,Araceli,Nelson,1966-09-14,M,5,4,1,1.3946984022903213,0,Agency,0.7269039763060989,1
C0023,1,Cole,Taylor,2058-12-06,M,9,8,0,-0.020520676644555657,1,Website,-1.5515589660182205,3
C0024,1,Alonso,Terrell,2063-11-05,M,9,8,1,0.6870888628228828,0,Website,-1.6753884737532379,2
C0025,1,Rodolfo,Gibson,1937-01-20,M,9,25,0,-0.7281302161119941,1,Website,1.4451151211691995,0
C0026,1,Joseph,Reeves,1962-09-23,M,9,8,1,1.3946984022903213,0,Website,0.8259675824941127,1
C0027,1,Grant,Weber,2068-09-08,M,9,8,0,1.3946984022903213,1,Website,-1.7992179814882552,2
C0028,1,Ava,Phelps,1958-04-15,F,9,8,0,-0.020520676644555657,0,Client,0.9250311886821266,1
C0029,1,Kyla,Walker,1976-02-26,F,9,11,0,0.6870888628228828,1,Agency,0.47924496083606416,1
C0030,1,Alanna,Hess,1952-06-19,F,9,25,0,-0.020520676644555657,0,Website,1.0736265979641475,1
C0031,1,Skylar,Buchanan,1977-12-25,M,9,25,0,0.6870888628228828,1,Website,0.4544790592890607,1
C0032,1,Rodrigo,Robinson,2066-08-11,M,9,8,0,0.6870888628228828,0,Website,-1.7496861783942483,2
C0033,1,Lydia,Tate,1968-08-14,F,9,8,0,-0.020520676644555657,1,Website,0.677372173212092,1
C0034,1,Lauryn,Patrick,1969-10-30,F,1,7,0,-0.7281302161119941,0,Agency,0.6526062716650884,0
C0035,1,Diego,Mendez,2065-05-12,M,6,23,0,-0.020520676644555657,0,Agency,-1.724920276847245,3
C0036,1,Victor,Jensen,2073-09-01,M,9,8,0,0.6870888628228828,0,Website,-1.9230474892232727,2
C0037,1,Scarlet,Hendricks,1962-01-20,F,9,8,0,1.3946984022903213,1,Website,0.8259675824941127,1
C0038,1,Janelle,Espinoza,1974-12-25,F,9,8,1,0.6870888628228828,0,Client,0.5287767639300711,1
C0039,1,Aleksandra,Karenina,1967-06-13,F,7,21,0,-1.4357397555794327,0,Agency,0.7021380747590954,0
C0040,1,Conner,Huff,1975-03-22,M,9,25,0,1.3946984022903213,0,Website,0.5040108623830677,1
C0041,1,Zain,Horne,1967-04-13,M,9,1,0,-1.4357397555794327,1,Website,0.7021380747590954,0
C0042,1,Maia,Chandler,2075-08-12,F,9,48,0,-1.4357397555794327,1,Website,-1.9725792923172796,3
C0043,1,Jordyn,Park,2065-04-04,M,9,25,1,-0.020520676644555657,1,Website,-1.724920276847245,3
C0044,1,Diana,Hunt,1931-02-13,F,9,1,0,-0.020520676644555657,0,Website,1.5937105304512205,1
C0045,1,Kevin,Mata,2068-10-12,M,9,11,1,-0.7281302161119941,0,Agency,-1.7992179814882552,3
C0046,1,Brisa,Mckee,1964-09-24,F,9,8,0,1.3946984022903213,0,Client,0.7764357794001059,1
C0047,1,Mason,Gilbert,1970-07-31,M,9,11,0,-0.7281302161119941,0,Agency,0.627840370118085,0
C0048,1,Derick,Li,1957-03-20,M,9,8,0,-0.020520676644555657,1,Agency,0.9497970902291302,1
C0049,1,Jace,Riggs,1971-08-20,F,9,8,0,-1.4357397555794327,0,Website,0.6030744685710815,0
C0050,1,Jair,Johns,2040-03-05,M,9,8,0,1.3946984022903213,0,Website,-1.105772738172158,2
C0051,1,Matilda,Madden,2041-03-03,F,9,11,0,-0.020520676644555657,0,Agency,-1.1305386397191615,3
C0052,1,Myla,Ewing,2067-02-03,F,9,37,1,-0.7281302161119941,0,Client,-1.7744520799412518,3
C0053,1,Miguel,Walter,2054-01-07,M,9,1,0,0.6870888628228828,0,Agency,-1.4524953598302066,2
C0054,0,Bridger CAL,Co,1967-02-15,M,9,25,1,1.3946984022903213,0,Website,0.7021380747590954,1
C0055,1,Mara,Franco,2073-06-07,F,9,8,0,1.3946984022903213,1,Agency,-1.9230474892232727,2
C0056,1,Erik,Mora,2064-12-07,M,9,37,1,1.3946984022903213,0,Agency,-1.7001543753002415,2
C0057,1,Henry,Kennedy,2033-06-08,M,9,8,0,0.6870888628228828,1,Agency,-0.9324114273431338,2
C0058,0,Kenyon,Co,2069-05-03,F,9,8,1,-1.4357397555794327,1,Website,-1.8239838830352588,3
C0059,1,Oswaldo,Palmer,1960-06-16,M,9,8,0,-0.7281302161119941,0,Website,0.8754993855881197,0
C0060,1,Kassidy,Vega,2072-05-07,F,9,8,0,1.3946984022903213,0,Website,-1.898281587676269,2
C0061,1,Morgan,Glass,2067-05-12,M,9,48,0,1.3946984022903213,0,Agency,-1.7744520799412518,2
C0062,1,Tyler,Carr,1974-03-27,M,9,8,0,1.3946984022903213,1,Client,0.5287767639300711,1
C0063,1,Yesenia,Marquez,1942-07-23,F,9,1,0,0.6870888628228828,0,Website,1.3212856134341822,1
C0064,1,Gordon,Brown,2074-02-10,M,8,31,1,0.6870888628228828,0,Agency,-1.9478133907702762,2
C0065,1,Rodrigo,Ramirez,1972-03-26,M,9,8,0,-1.4357397555794327,0,Agency,0.5783085670240781,0
C0066,1,Melanie,Holland,1974-12-25,F,9,8,1,-0.020520676644555657,0,Client,0.5287767639300711,1
C0067,1,Enrique,Cardenas,1977-06-10,M,9,8,0,-0.7281302161119941,0,Website,0.4544790592890607,0
C0068,1,Helen,Williamson,1966-02-26,F,9,11,0,1.3946984022903213,1,Agency,0.7269039763060989,1
C0069,1,Isis,Rios,2070-04-01,M,9,8,1,0.6870888628228828,0,Website,-1.8487497845822622,2
C0070,1,Kayley,Nielsen,1947-04-27,F,9,1,0,0.6870888628228828,1,Website,1.1974561056991648,1
C0071,1,Donavan,Flowers,1985-12-27,M,9,8,0,-1.4357397555794327,1,Client,0.2563518469130329,0
C0072,1,Augustus,Hinton,2053-02-03,M,9,25,1,-0.7281302161119941,0,Website,-1.4277294582832032,3
C0073,1,Alejandra,Greer,2065-01-11,F,3,9,1,-1.4357397555794327,0,Agency,-1.724920276847245,3
C0074,1,Violet,Nixon,2059-01-01,F,9,37,1,1.3946984022903213,0,Client,-1.576324867565224,2
C0075,1,Jaelyn,Berger,2070-05-05,F,9,8,0,-0.020520676644555657,0,Website,-1.8487497845822622,3
C0076,1,Tristian,Fuller,1956-03-13,M,9,8,0,1.3946984022903213,0,Agency,0.9745629917761336,1
C0077,1,Christian,Costa,1980-09-14,M,9,8,0,1.3946984022903213,0,Website,0.3801813546480503,1
C0078,1,Nora,Lynch,1948-04-23,F,9,8,0,1.3946984022903213,0,Website,1.1726902041521614,1
